localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:21] "GET /gms-web/common/assets/global/plugins/fullcalendar/fullcalendar.min.js HTTP/1.1" 200 98475 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:21] "GET /gms-web/common/assets/global/plugins/bootstrap-select/css/bootstrap-select.css HTTP/1.1" 200 6997 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:21] "GET /gms-web/common/assets/global/plugins/bootstrap-select/js/bootstrap-select.js HTTP/1.1" 200 63853 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:21] "GET /gms-web/common/assets/layouts/layout/scripts/demo.min.js HTTP/1.1" 200 6345 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:21] "GET /gms-web/common/assets/layouts/global/scripts/quick-sidebar.min.js HTTP/1.1" 200 2867 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:21] "GET /gms-web/common/assets/global/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 240427 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:22] "GET /gms-web/device/activation/getDepartment HTTP/1.1" 200 429 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:23] "GET /gms-web/device/activation/getDevice HTTP/1.1" 200 639 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:23] "GET /gms-web/device/activation/getCountry?userStatus=admin HTTP/1.1" 200 829 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:22] "GET /gms-web/device/activation/getChartData/country/7 HTTP/1.1" 200 268 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:22] "GET /gms-web/device/activation/getChartData/device/7 HTTP/1.1" 200 324 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:22] "GET /gms-web/device/activation/baseData?userType=ADMIN&userStatus=admin HTTP/1.1" 200 82 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:22] "GET /gms-web/device/activation/getTableData/country/7 HTTP/1.1" 200 331 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
localhost 0:0:0:0:0:0:0:1 - - [2017-11-09 16:09:22] "GET /gms-web/device/activation/getTableData/device/7 HTTP/1.1" 200 511 "http://localhost:9090/gms-web/device/activation/list" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:56.0) Gecko/20100101 Firefox/56.0" "JSESSIONID=node0mljwx6xfxuzo19rwyk4pdzltw0.node0;JSESSIONID=aaa5R5CPKVtH_dq1YXq5v"
